|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| Age   | Gender | Weight (kg)        | Height (m) | Avg_BPM | Session_Duration (hours) | Calories_Burned | Workout_Type | Fat_Percentage     | Carbs   | Proteins           | Fats               | Calories | BMI      | diet_type  | cal_balance         |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 30.79 | Female |              66.06 |       1.67 |  136.81 |                     1.01 |          968.79 | Cardio       |  23.45458513068668 |  192.28 |              76.38 |              50.96 |   1861.0 |    23.69 | Balanced   |              892.21 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 21.96 | Female |              96.29 |       1.63 |  162.58 |                     1.36 |         1471.25 | Strength     |               35.0 |  270.78 |             108.73 |              71.89 |   2652.0 |    36.24 | Balanced   |             1180.75 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 40.24 | Male   |              57.94 |       1.56 |  135.83 |                      0.6 |          594.54 | Strength     |  28.44992576768096 |  197.27 |              78.69 |              52.41 |   1578.0 |    23.81 | Keto       |              983.46 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 48.96 | Female |              78.56 |       1.61 |  158.42 |                     1.05 |         1383.69 | HIIT         | 31.936374800494388 |  199.62 |              79.96 |              53.39 |   2078.0 |    30.31 | Balanced   |              694.31 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 49.54 | Male   |               70.5 |       1.54 |  143.41 |                     0.73 |          722.04 | Strength     |   32.3025250595586 |  293.42 |             117.76 |              78.82 |   1672.0 |    29.73 | Balanced   |              949.96 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 32.63 | Male   |              77.35 |       1.71 |  135.93 |                     1.07 |          942.46 | Cardio       | 27.851643544620647 |  349.55 |             140.04 |              92.69 |   2159.0 |    26.45 | Paleo      |             1216.54 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.04 | Male   |              61.29 |       1.64 |  127.14 |                     0.96 |           633.6 | Yoga         |  25.66523111741184 | 399.515 | 159.92374999999998 | 106.32750000000001 |   1824.0 |    22.79 | Vegetarian |              1190.4 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 45.13 | Female |              92.13 |       1.91 |  142.71 |                     1.05 |         1388.31 | HIIT         | 27.307348018160788 |  242.63 |              97.33 |              65.41 |   2555.0 |    25.25 | Paleo      |             1166.69 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 50.08 | Male   |              69.55 |       1.68 |  134.54 |                      1.2 |         1186.92 | Strength     |  29.20743411454928 |   200.5 |              81.35 |               54.2 |   2009.0 |    24.64 | Vegan      |   822.0799999999999 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
|  18.0 | Male   |              66.55 |       1.75 |  121.99 |                     0.95 |          939.64 | Strength     |  24.67031318332352 |  202.47 |              80.95 |              53.81 |   1753.0 |    21.73 | Keto       |              813.36 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 37.02 | Male   |               69.4 |       1.77 |  122.77 |                     1.02 |         1236.44 | HIIT         | 24.388767871879114 |   186.9 |              74.48 |               49.7 |   1609.0 |    22.15 | Vegetarian |              372.56 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 46.96 | Female |              42.99 |       1.62 |  132.07 |                      0.5 |           440.4 | Cardio       | 23.147446913118845 |  348.83 |              139.1 |               93.0 |   1279.0 |    16.38 | Paleo      |               838.6 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 29.34 | Female |              69.08 |        1.7 |  150.37 |                     0.75 |           739.8 | Strength     |  26.78536880247126 |  206.49 |              82.21 |              54.61 |   1801.0 |     23.9 | Vegan      |              1061.2 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 45.02 | Male   |              65.62 |       1.68 |  129.41 |                     0.75 |          908.32 | HIIT         | 28.222874395297616 |  273.13 |             107.49 |              71.99 |   1779.0 |    23.25 | Low-Carb   |              870.68 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.25 | Male   |              63.41 |       1.56 |  147.73 |                     1.21 |         1195.72 | Strength     |  28.81170376049376 |  159.59 |              63.19 |              42.41 |   1788.0 |    26.06 | Vegan      |              592.28 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 49.27 | Male   |             105.91 |       1.64 |  155.41 |                     1.21 |         1162.57 | Cardio       |               35.0 |  253.62 |             101.29 |               67.3 |   2748.0 |    39.38 | Vegetarian |             1585.43 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 22.25 | Male   |              96.59 |       1.63 |  162.24 |                     1.34 |         1452.02 | Strength     |               35.0 |  272.14 |             107.96 |               72.3 |   2601.0 |    36.35 | Balanced   |             1148.98 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 50.24 | Male   |              51.25 |       1.98 |  126.14 |                     0.91 |          800.07 | Cardio       | 14.865535706246073 |  176.31 |              70.41 |              46.97 |   1522.0 |    13.07 | Balanced   |              721.93 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 48.96 | Male   |              61.93 |       1.66 |  152.06 |                     1.38 |          991.94 | Yoga         |  21.46935029304232 |  271.14 |             109.02 |              72.18 |   1752.0 |    22.47 | Paleo      |              760.06 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 49.12 | Female |               44.7 |       1.74 |  156.24 |                     1.24 |          892.06 | Yoga         | 17.528078946266064 |  221.23 |              88.98 |              58.71 |   1316.0 |    14.76 | Vegan      |  423.94000000000005 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 43.17 | Male   |              82.84 |       1.85 |  141.94 |                     1.22 |         1172.18 | Cardio       | 26.095163265207937 |  156.94 |              62.39 |              41.05 |   2309.0 |     24.2 | Balanced   |             1136.82 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 52.08 | Female |              82.64 |       1.72 |  137.46 |                     1.02 |          980.02 | Cardio       |  27.02215570142977 |  221.28 |              88.35 |              58.88 |   2247.0 |    27.93 | Keto       |             1266.98 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 48.81 | Female |               82.4 |       1.86 |  159.66 |                     1.88 |         1467.53 | Yoga         |  23.25645398255924 |  195.24 |              77.89 |              51.74 |   2566.0 |    23.82 | Keto       |             1098.47 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 52.97 | Male   |              63.86 |       1.55 |  139.49 |                     1.77 |         1842.22 | Cardio       |   30.2873597520029 |  198.25 |              80.14 |              52.63 |   1720.0 |    26.58 | Vegetarian | -122.22000000000004 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 39.81 | Female |              57.89 |       1.98 |  137.52 |                     1.43 |         1370.51 | Cardio       | 19.303080760277982 |  352.97 |             141.99 |              94.64 |   1559.0 |    14.77 | Vegetarian |              188.49 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 29.85 | Female |              51.28 |       1.74 |   149.8 |                     1.07 |         1028.06 | Cardio       | 17.404724692345077 |  235.97 |               95.0 |              63.15 |   1554.0 |    16.94 | Keto       |              525.94 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 41.05 | Male   |             120.69 |       1.67 |  146.09 |                     0.83 |          820.21 | Strength     |               35.0 |  198.53 |              80.47 |              53.35 |   2931.0 | 41.40625 | Paleo      |             2110.79 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
| 33.23 | Male   |             106.46 |        1.6 |  152.31 |                      1.4 |          1008.0 | Yoga         |               35.0 |  185.87 |              74.24 |              49.49 |   2951.0 | 41.40625 | Paleo      |              1943.0 |
|-------|--------|--------------------|------------|---------|--------------------------|-----------------|--------------|--------------------|---------|--------------------|--------------------|----------|----------|------------|---------------------|
